PointID,County,xcoord,ycoord,landusenum,Main_soil,Slope,CS_0_30,gS,mS,fS,gU,mU,fU,Sand,Silt,Clay,pH_H2O,EC_H2O,TC,TOC,TN,FSS,Water_cont,Stone_dens,BD_bulk,Rock_fragm
1546,NW,490690.2047,5802924.824,1,YE,N0,56.62,1.5,28.8,50.9,10,2.7,1.6,81.2,14.4,4.4,5.44,81.2,14.2,14.2,1.17,1240.6,14.15,2.65,1.27,0.927169811
1557,NI,579360.2501,5801398.917,1,BB,N0.2,32.2,8.7,33.6,14,24.6,8.6,3.1,56.3,36.4,7.3,6.33,109.8,9.27,9.27,0.91,1035.5,8.69,2.65,1.24,10.22264151
1559,NI,597188.0907,5803448.894,1,BB,N0,39.41,4.4,52.7,31.6,5.5,1.7,0.9,88.7,8.1,3.2,5.76,149.6,10.78,10.78,1.02,1391.7,11.7,2.65,1.4,0.173584906
1561,NI,610297.1891,5802127.318,1,DD,N0.2,100.74,2.4,13.1,9.5,12.1,10.3,9.7,25,32.1,42.9,6.59,130.7,38.52,38.52,3.69,1265.9,33.96,2.65,1.28,0.253584906
1563,NI,626297.1312,5803669.382,1,SS,N1,41.01,5.3,34.6,30.9,12.2,6.3,3,70.7,21.4,7.9,6.25,70.7,10.85,10.63,1,1308.3,11.77,2.65,1.41,4.505660377
1565,ST,642430.5217,5801337.053,1,SS,N1,30.8,11.8,50.3,22.5,7.2,3.3,1.1,84.7,11.6,3.7,6.49,51.9,8.13,8.13,0.66,1367,11.27,2.65,0,10.04390005
1566,ST,652465.7594,5800431.103,1,SS,N2,39.75,6.2,42.4,27.6,9.9,5.1,3.3,76.1,18.4,5.5,6.47,101.7,10.86,10.86,0.93,1210.8,12.21,2.65,0,10.89232651
1567,ST,660875.432,5801017.836,2,GG,N0,123.08,8.4,22.1,12,15,10.6,4.9,42.5,30.5,27,6.35,125.3,81.84,81.84,7.5,646,66.94,2.65,0.65,0.227924528
1572,ST,698778.4885,5803658.25,2,GG,N0.1,32.14,8,68.1,14.7,2.8,1.5,1.1,90.7,5.4,3.9,5.51,24.9,13.46,13.46,0.94,1352.3,11.89,2.65,1.38,0.596226415
1574,ST,717648.2916,5802077.882,2,KV,N0,397.99,0,0,0,0,0,0,0,0,0,5.82,1088,326.89,326.89,22.45,418.7,145.78,2.65,0.43,0
1575,ST,722437.0951,5801110.811,1,LF,N0,44.3,3.1,51.6,36.4,3.7,1.5,0.7,91,5.9,3.1,7.62,98.9,11.94,11.41,0.97,1198.4,10.2,2.65,1.21,0.227169811
1576,BB,730150.0337,5802376.198,1,RQ,N1,26.83,14.7,50.3,29,2.5,0.8,0.9,93.9,4.2,1.9,5.87,31.6,6.47,6.47,0.5,1403,6.83,2.65,1.45,2.452075472
1578,BB,744280.7617,5804517.094,1,BB,N2,37.01,16.6,54.5,21.2,2.1,1.4,1.1,92.3,4.6,3.1,5.46,334,8.8,8.8,0.85,1397,0.79,2.65,0,10
1582,BB,781724.3534,5804312.358,2,ZZ,N0,204.68,4,51.4,36.9,2.7,1,0.4,92.3,4,3.7,6.05,226,58.55,58.55,4.81,944,18.11,2.65,0.95,0
1583,BB,786254.6405,5803907.963,1,BB,N0.2,39.91,5.3,58.4,30.1,2.3,0.8,0.6,93.8,3.6,2.6,7.05,60.8,10.7,10.7,0.72,1202.6,16.71,2.65,1.22,1.276226415
1588,BB,824580.7166,5806207.803,2,GG,N0,78.11,1,22.2,66,4.9,1.8,1,89.2,7.6,3.2,5.31,52.8,39.34,39.34,3.34,906.1,27.02,2.65,0.92,1.031698113
1596,NW,373468.6398,5790124.49,1,PP,N0.2,111.63,2.3,20.9,67.6,5.1,1.3,0.5,90.7,6.9,2.4,5.01,36.9,30.19,30.19,1.48,1233.8,24.62,2.65,1.24,0
1597,NW,379484.0179,5789304.721,1,GG,N0,94.63,3.9,44,40.2,4.2,1.8,0.9,88.1,6.8,5.1,5.91,74.2,23.16,23.16,1.67,1200.2,23.68,2.65,1.22,0.516981132
1599,NW,395222.2557,5791998.982,2,GGa,N0,65.22,0.2,20,59.5,13.5,1.6,0.5,79.7,15.6,4.7,5.4,62.7,26.42,26.42,2.34,1253.4,22.74,2.65,1.27,0.011320755
1600,NW,402687.466,5789565.895,1,PP,N0,172.38,1,36.3,52.1,5.3,1.4,0.4,89.4,7.1,3.5,5.99,58.8,46.14,46.14,2.62,1178.6,27.98,2.65,1.18,0.097358491
1601,NW,411480.4634,5791820.037,1,YU,N0,72.88,1.5,36.6,36,11.8,3.4,1.6,74.1,16.9,9,6.78,94,19.15,19.15,1.43,1178.7,12.18,2.65,1.18,0.009811321
1606,NI,451495.5532,5789003.567,2,BB,N2.2,88.52,2,17.7,20.7,22.9,10.4,7,40.4,40.2,19.4,5.14,96.5,30.84,30.84,3.22,1289.7,13.97,2.65,1.31,0.563773585
1607,NI,462087.3533,5791590.718,1,BB,N2.2,46.58,0.1,0.4,1.7,65.1,15.2,3,2.2,83.3,14.5,6.27,86.1,11.23,11.23,1.17,1384.6,17.62,2.65,1.41,0.301132075
1608,NW,465202.533,5793443.583,1,BB,N2.2,42.62,1.5,23.5,27,21,7.7,5.4,52,34.1,13.9,6.34,67.6,12.55,12.55,1.14,994.9,16.89,2.65,0,5.210549033
1612,NI,498339.7106,5794978.261,1,AB,N0,59.36,2.6,17.4,10.2,43.3,11.7,2.9,30.2,57.9,11.9,5.8,79.7,14.1,14.1,1.32,1271.7,6.16,2.65,1.3,0.866415094
1618,NI,545387.7761,5794945.98,1,LL,N0,51.14,0.4,1,1.4,60.2,21.3,4.7,2.8,86.2,11,7.35,85.2,13.33,13.33,1.25,1148.3,18.33,2.65,1.18,0.057358491
1619,NI,556830.3755,5795309.172,2,AB,N0,104.86,0.2,0.3,1,44.4,22,6.5,1.5,72.9,25.6,7.24,117.7,50.69,48.31,4.28,1000.5,20.53,2.65,1.01,0
1620,NI,561204.5462,5794126.565,1,RQ,N2,45.93,2.4,11.1,15.2,31.2,11.3,5.6,28.6,48.1,23.3,6.76,121.4,12.89,12.02,1.41,1376.9,18.56,2.65,1.51,6.058867925
1622,NI,581127.1121,5792981.755,1,BB,N0.2,39.35,1.5,28.9,16,32.3,8.9,2,46.3,43.2,10.5,7.1,129.4,11.18,10.87,1.29,1362.4,13.3,2.65,1.39,1.2
1627,NI,620705.361,5793702.18,1,DD,N1,66.34,3.3,23.1,9.6,6,8.9,8.7,35.9,23.6,40.5,7.48,161,28.2,25.52,2.97,1153.8,25.81,2.65,1.2,3.318490566
1629,NI,634635.7353,5792163.603,1,SS,N1,54.66,4.4,28.9,20.1,8.1,6.4,6,53.5,20.5,26,6.44,190.8,12.49,12.49,1.22,1228.3,15.2,2.65,1.38,5.409056604
1630,ST,642753.8,5794598.148,1,DD,N2.2,61.34,1.8,12.9,8,10.2,10.5,11.9,22.7,32.6,44.7,7.57,125.6,26.39,15.06,1.47,1268.1,28.63,2.65,1.32,2.898113208
1633,ST,667758.2124,5795784.76,1,BB,N0.1,34.19,11.3,52,18.4,7.5,3.2,1.7,81.6,12.4,6,6.35,54,11.14,11.14,0.94,1330.8,10.84,2.65,1.5,6.236226415
1635,ST,685082.1596,5794243.593,1,AB,N0,67.98,1.2,6,25.7,14.7,12.7,8.3,32.9,35.6,31.5,6.06,287,19.1,19.1,1.96,1298.2,22.21,2.65,1.3,0.030943396
1636,ST,693673.6506,5794569.842,1,GG,N0,137.94,2.1,26.1,7.9,8.5,10,6.5,36,24.9,39.1,6.35,140.3,42.37,42.37,3.55,1126.9,33.39,2.65,1.14,0.116226415
1638,ST,706797.6349,5794010.058,1,SS,N0.2,32.03,8.7,44.6,23.6,8.1,5.5,2.7,76.8,16.2,7,6.58,44.2,8.16,8.16,0.81,1438,11.68,2.65,1.51,2.810566038
1643,BB,745046.6984,5796482.895,1,GG,N0,107.34,4.9,51.3,31.9,2.4,1.6,1.1,88.1,5.1,6.8,6.49,90.9,26,26,2.36,1316.9,27.01,2.65,1.32,0.027924528
1647,BB,777407.7478,5794669.242,1,BB,N2,27.28,5.4,33.6,47.8,6.1,2.4,1.9,86.8,10.3,2.9,6.22,43.1,7.85,7.85,0.7,1453.7,12.63,2.65,1.51,2.489811321
1648,BB,784262.6142,5796872.358,2,GG,N0,170.21,0.2,25.9,62,3.7,2.3,0.3,88.1,6.4,5.5,5.26,71.4,56.19,56.19,5.13,975.2,41.58,2.65,0.98,0
1649,BB,797058.2018,5795603.843,1,BB,N0,46.17,7.7,39,41.9,5,2.2,1.2,88.6,8.4,3,5.67,33.5,11.42,11.42,0.9,1367.9,13.12,2.65,1.46,4.191698113
1656,BB,852284.4323,5797469.551,1,LF,N2.2,28.51,7.9,34.4,38.6,8.5,3.9,2.4,80.9,14.8,4.3,5.87,46.9,9.26,9.26,0.76,1305.3,10.81,2.65,1.48,7.230188679
1658,BB,868981.3339,5798345.458,1,LF,N2.2,28.96,4.9,33.1,43.7,9,3.8,2.6,81.6,15.4,3,4.9,31,8.74,8.74,0.62,1276,12.51,2.65,1.33,2.464150943
1661,NW,361857.1618,5780161.371,1,PP,N0.2,80.22,1.2,31.7,59.7,3.1,1,0.8,92.6,4.9,2.5,5.42,25,21.94,21.94,1.56,1108.9,18.08,2.65,1.11,0.019622642
1662,NW,373449.6753,5781757.755,2,GG,N0,74.68,1.3,31.1,59.1,4.5,0.7,0.3,91.5,5.5,3,5.78,72,26.59,26.59,1.82,1196.3,10.75,2.65,1.21,0.00754717
1663,NW,379681.2268,5784632.868,1,YE,N0,83.72,0.8,33.2,48.3,6.8,2.6,2.1,82.3,11.4,6.3,4.22,101.1,20.13,20.13,1.56,1302.8,8.72,2.65,1.31,0.106415094
1664,NW,390114.2777,5782871.615,1,PP,N0,118.46,2.5,35.5,53.7,3.1,1.4,1.2,91.7,5.6,2.7,6.34,50.4,30.32,30.32,1.74,1254.5,24.73,2.65,1.26,0.081509434
1665,NW,396642.8976,5784121.358,2,GG,N0,71.12,1.3,21.3,65.9,6.7,1.3,0.6,88.6,8.5,2.9,5.78,79.1,27.58,27.58,1.88,1065.4,47.96,2.65,1.08,0
1666,NW,404826.1144,5782529.67,1,YE,N0,70.99,0.4,20.1,50.1,14.4,3.1,2.2,70.5,19.7,9.8,5.94,56,19.49,19.49,1.33,1176.7,8.17,2.65,1.19,0.250566038
1667,NW,409912.8681,5785003.569,1,GG,N0,64.66,1.5,41.5,50.9,2.6,0.8,0.5,93.9,3.9,2.2,6.34,58.3,14.74,14.74,1,1247.1,16.14,2.65,1.27,0.71245283
1668,NW,419279.3603,5783159.078,1,YE,N0,77.31,2.4,53.9,31.6,5.8,1.4,0.5,87.9,7.8,4.3,6,72.8,18.25,18.25,1.14,1403.9,8.7,2.65,1.42,1.132830189
1672,NI,449162.5964,5785124.055,1,YE,N3.1,54.44,1,4.2,14.7,56.7,10.6,2.2,19.8,69.6,10.6,6.06,93.6,16.55,16.55,1.72,1301.3,25.95,2.65,1.32,0.201509434
1673,NI,460796.27,5783058.013,1,GG,N0,73.24,0.6,21.4,26.5,29.3,5.5,4.3,48.5,39,12.5,6.19,198.6,18.8,18.8,1.85,1371.2,20.89,2.65,1.38,0.32754717
1676,NW,483228.9586,5782631.958,1,PP,N0.1,62.36,2.7,57.8,12,13,4.3,1.7,72.4,19,8.6,6.47,85.2,12.46,12.46,1.16,1275.4,12.08,2.65,1.31,1.088301887
1677,NW,493732.0985,5785745.497,1,SS,N1,49.25,2.4,3.9,6.1,55.2,15.8,4.1,12.3,75,12.7,6.56,79.5,13.51,13.51,1.54,1343.8,25.79,2.65,1.47,5.16754717
1678,NW,502137.244,5783845.339,1,BB,N2,48.98,1.1,14.4,15.2,44.5,10.9,2.8,30.6,58.2,11.2,6.93,122.2,13.2,12.09,1.05,1337.9,21.33,2.65,1.36,1.126792453
1683,NI,539245.2605,5784285.006,1,LL,N0,46.6,0.6,0.7,1.1,60.7,21,3.3,2.5,85,12.5,5.83,136.1,15.36,15.36,1.39,1070.6,25.27,2.65,1.1,0.518867925
1687,NI,571027.1945,5782987.503,1,TT,N0,95.19,0.2,0.7,1,49.3,23,4.4,1.9,76.7,21.4,6.06,180.6,22.08,22.08,1.87,1257.1,13.26,2.65,1.26,0.012830189
1690,NI,596102.5398,5787854.96,1,BB,N1,49.72,0.3,1.3,1.5,55.4,23.3,4.5,3,83.2,13.8,7.11,72.7,12.13,12.13,1.29,1374.5,29.39,2.65,1.39,1.115471698
1694,NI,626397.132,5786308.34,1,RZ,N2.2,50.35,0.6,0.9,1.8,49.1,22.4,4.6,3.2,76.1,20.7,6.92,196.8,16.02,15.19,1.74,1202.8,15.25,2.65,1.21,0.162264151
1699,ST,666814.8744,5789199.184,1,TT,N0.2,59.01,0.3,0.6,1.3,54.3,20.5,4.5,2.2,79.2,18.6,6.98,116.9,16.97,16.69,1.64,1259.3,22.55,2.65,1.26,0.029433962
1700,ST,676371.3996,5784783.86,1,TT,N1,72.73,0.5,2.3,2.5,46.2,21.6,5.5,5.4,73.3,21.3,7.88,152.6,24.18,17.38,1.64,1171.8,24.74,2.65,1.19,0.258867925
1702,ST,692065.7215,5789562.434,1,BB,N0.1,62.3,6.9,51.2,26.2,5.7,3.1,1.4,84.3,10.1,5.6,5.6,145.1,21.44,21.44,2.04,1069.8,16.43,2.65,1.1,0.907169811
1703,ST,697745.7287,5786587.327,1,GG,N0,42.36,12.6,48.2,26.9,4.2,2.3,0.8,87.7,7.3,5,5.13,39.1,13.23,13.23,1.23,1245.6,7.28,2.65,0,5.594653546
1705,ST,715763.2835,5786142.521,1,BB,N0.2,45.5,18.5,54.6,12.7,4.4,3.8,0.8,85.9,8.9,5.2,5.69,46.2,10.78,10.6,0.8,1363.4,8.45,2.65,1.45,3.283773585
1707,BB,731400.8683,5787415.952,1,BB,N1,39.52,32.9,46.8,6.3,6.5,3.1,1.2,86,10.8,3.2,5.29,50,9.53,9.53,0.73,1523.4,12.92,2.65,1.61,3.466415094
1711,BB,763651.0829,5787698.973,1,GG,N0,103.34,6.7,36.4,37.2,3.6,1.8,0.9,80.4,6.2,13.4,7.66,185,28.64,26.32,2.61,1284.7,23.74,2.65,1.32,1.058113208
1723,BB,857635.1235,5787838.758,1,BB,N0.2,28.93,15.6,60.8,14.9,3.4,1.5,0.8,91.2,5.7,3.1,5.88,24.2,6.6,6.6,0.42,1399.1,9.69,2.65,1.47,3.070188679
1725,BB,876723.367,5787833.68,1,YK,N2.2,38.4,9.6,46.6,33.8,4.9,1.6,0.9,90,7.4,2.6,6.4,48.1,9.55,9.55,0.73,1274.7,9.79,2.65,1.34,3.182641509
1726,BB,882974.6991,5790972.268,1,BB,N1,27.9,6.5,31.9,37.1,11.2,5.6,3.8,75.5,20.6,3.9,5.28,25.1,6.3,6.3,0.51,1410.9,14.39,2.65,1.48,3.323773585
1727,NW,345671.6872,5773708.987,1,YE,N0,114.18,2.5,31.9,52.3,6,1.8,1.2,86.7,9,4.3,5.98,60.2,26.28,26.28,1.53,1465,21.56,2.65,1.47,0.301886792
1731,NW,379478.0735,5773884.967,1,ZZ,N0.2,75.28,2.4,29,41.6,6.2,6.5,4.9,73,17.7,9.3,7.69,103.7,45.4,19.15,1.8,1217.1,24.86,2.65,1.22,0.101132075
1734,NW,403831.2923,5772744.205,1,GG,N0,54.9,0.4,12.2,49.7,23.6,3.8,1.6,62.3,28.9,8.8,6.38,69.4,14.08,14.08,1.3,1255.8,20.18,2.65,1.26,0.093584906
1735,NW,410086.8457,5777764.792,1,YY,N0,82.51,0.3,14.9,70.4,8.7,1.4,0.9,85.6,10.9,3.5,6.35,72,20.4,20.4,1.45,1261.6,27.99,2.65,1.28,0.066415094
1738,NI,438144.6785,5775110.281,2,SS,N0,63.91,3,36.9,31.7,11.6,5.2,2.9,71.7,19.7,8.6,5.15,29.6,18.83,18.83,1.76,1468,7.75,2.65,1.5,1.418867925
1741,NW,457344.8115,5775939.429,1,LL,N2,53.99,0.2,0.5,2.7,64.1,16.4,3.7,3.4,84.2,12.4,7,128.4,13.45,12.8,1.27,1329.4,30.32,2.65,1.33,0.043018868
1742,NW,468399.1475,5776174.945,1,YK,N2.2,46.94,0.3,1.2,3.3,64.6,15,2.9,4.8,82.5,12.7,6.98,81.4,12.9,12.38,1.31,1185.8,29.04,2.65,1.2,1.181132075
1743,NW,473749.6365,5774369.569,2,GG,N1,100.84,0.3,6.9,9.1,54.9,11.3,3.6,16.4,69.7,13.9,5.47,85.5,40.04,40.04,3.51,970.3,49.95,2.65,0.98,0.012830189
1744,NW,484170.2979,5774730.354,1,YK,N3.2,45.3,0.8,0.7,2.1,61.5,16.3,2.6,3.6,80.4,16,6.76,77.8,12.17,12.02,1.14,1098.5,26.1,2.65,1.14,1.133584906
1746,NW,499654.2119,5775331.51,1,RQ,N3,51.91,9.7,5.8,4.1,22.8,17.8,13.5,19.6,54.1,26.3,6.71,81.3,19.43,19.12,1.57,764.4,19.84,2.65,0,13.02367807
1747,NI,505742.1919,5775230.163,1,BB,N3.2,49.28,3.6,2.6,4.3,51.5,20.6,5,10.4,77.1,12.5,5.57,72.9,21.4,21.4,2.02,825.8,18.46,2.65,0,15.7309574
1752,NI,546972.9754,5776278.297,1,LL,N2,53.62,0.2,0.4,0.9,57.2,21.4,4.7,1.6,83.3,15.1,7.78,168.7,15.01,14.27,1.49,1263,15.6,2.65,1.3,2.273207547
1753,NI,557696.2101,5775403.66,1,BBc,N3.1,49.36,0.8,1.7,2.5,50.4,19,4.8,5,74.2,20.8,7.24,134.2,17.91,16.69,1.89,1216,25.59,2.65,1.24,1.230943396
1758,NI,595820.5321,5777308.933,1,BB,N0,60.69,0.7,1.2,2.5,50.5,23.7,4.8,4.3,79,16.7,7.38,175,27.7,24.2,2.2,1075.3,35.55,2.65,1.08,0.215849057
1759,NI,600807.416,5778457.878,1,BB,N1,55.67,0.6,2.6,3.7,45.5,23.3,5,6.8,73.8,19.4,8.04,216,16.51,11.88,1.3,1309.7,10.24,2.65,1.33,1.355471698
1764,ST,643125.9618,5776101.178,1,ZZ,N2.2,90.27,1.7,4.3,7.9,41,20.7,4.1,13.9,65.7,20.4,7.59,160.5,28.71,24.07,1.64,1253.2,29.48,2.65,1.27,0.542641509
1765,ST,649689.028,5779612.985,2,YK,N1,138.59,0.3,1.6,1.7,48.6,23.2,5.3,3.7,77.1,19.2,5.91,153.1,60.06,60.06,5.53,1041.4,25.62,2.65,1.05,0
1766,ST,661846.3818,5777046.024,1,TC,N1,81.34,0.7,1.4,1.8,46.3,22.5,4.4,3.8,73.2,23,7.71,188.8,21.19,20.44,2.05,1327.7,27.23,2.65,1.33,0.059622642
1767,ST,667397.9865,5779279.95,1,RZ,N3,46.82,7.3,17.4,17.6,22.1,12.6,3.9,42.4,38.6,19,7.77,135,18.59,9.46,0.99,1365,11.74,2.65,1.43,2.29509434
1769,ST,682497.3281,5779266.175,1,GG,N0,82.88,2,28,10,6.1,8.8,9.4,40.1,24.2,35.7,6.2,130.7,29.15,29.15,2.58,1077,37.46,2.65,1.09,0.204528302
1770,ST,690614.0957,5781538.786,1,LL,N1,26.27,4.8,37.3,39.5,7.3,3.6,1.8,81.6,12.7,5.7,6.83,85.3,6.82,6.49,0.64,1313.3,5.92,2.65,1.34,0.790943396
1771,ST,698553.6557,5781773.515,1,GG,N0.1,92.99,4.6,33.9,31.6,5.5,4.4,2.3,70.1,12.2,17.7,6.35,91.6,26.01,26.01,2.51,1227.5,22.15,2.65,1.25,0.98490566
1772,ST,705908.7776,5779298.04,2,SS,N0,120.77,5.6,40.3,23,6.9,5.3,2.7,68.9,14.9,16.2,6.23,557,43.78,43.26,4.16,1045.9,35.85,2.65,1.05,0.338867925
1773,ST,716837.22,5778652.2,1,BB,N0,48.02,11.5,49.6,22.7,5.8,3.7,1.7,83.7,11.2,5.1,5.76,46.1,9.08,9.08,0.67,1433.2,4.85,2.65,0,4.083941558
1775,BB,730916.8301,5781248.922,1,BB,N2.2,36.01,6.1,43.7,28.8,7.6,5.6,2.6,78.6,15.9,5.5,4.5,68.6,9.34,9.34,0.8,1383.6,11.75,2.65,1.49,5.657358491
1777,BB,748149.97,5777239.647,1,LF,N2.2,35.13,3,17.8,13.5,45.5,12.2,2.5,34.3,60.1,5.6,6.32,104.9,7.91,7.91,0.79,1436.8,13.7,2.65,1.44,0.221132075
1780,BB,770807.7076,5779159.539,2,KV,N0,93.79,2.2,42.4,41,3.4,2.7,1.2,85.6,7.2,7.2,5.28,94,38.88,38.88,3.25,1069.5,43.41,2.65,1.07,0
1781,BB,781626.785,5780599.766,1,GG,N0,43.5,3.2,42,46.6,1.7,1.4,0.4,91.7,3.4,4.9,4.97,52.5,11.35,11.35,1.01,1276.9,11.72,2.65,1.33,2.349433962
1790,BB,849744.9773,5781516.972,1,LF,N1,38.07,7.6,45.1,32.9,6.9,3,1.8,85.7,11.7,2.6,6.9,52.4,9.4,9.4,0.75,1493,12.64,2.65,1.56,2.922264151
1791,BB,861793.4601,5782023.819,1,BB,N0,24.34,4,34.3,49.8,6.9,1.7,1.1,88.2,9.6,2.2,6.08,35.2,7.03,7.03,0.49,1490.7,8.63,2.65,1.5,0.308679245
1795,BB,889349.6257,5780423.731,1,BB,N2.2,23.51,7.5,45.5,37.3,5.1,1.7,0.9,90.3,7.7,2,6.31,22.3,5.39,5.39,0.32,1528.3,9.17,2.65,1.65,4.478490566
1797,NW,356351.0854,5767474.582,1,YE,N2,95.61,2.5,33.6,40.7,8.4,4,2.3,76.8,14.7,8.5,5.86,64.8,26.14,26.14,1.55,1256.2,22.06,2.65,1.29,1.025660377
1798,NW,364003.0639,5766483.002,1,YU,N0,83.61,1.6,29,58.4,5.8,1.5,0.8,89,8.1,2.9,5.88,45,19.88,19.88,1.01,1297,20.41,2.65,1.34,1.738867925
1799,NW,370360.4723,5766056.734,1,BB,N0,75.32,1.9,26,43.5,10,4.5,2.9,71.4,17.3,11.3,5.06,43.9,16.51,16.51,1.67,1276.1,31.33,2.65,1.28,0.307924528
1800,NW,379254.9254,5765833.602,1,BB,N0,44.37,1.3,32.6,32.9,12.5,3.1,2.8,66.8,18.3,14.9,6.38,134,11.78,11.78,1.21,1217.6,17.55,2.65,1.23,0.03245283
1801,NW,387129.8623,5766673.061,1,BB,N2.2,57.9,1.3,9.3,18.6,11,7.5,9.8,29.3,28.4,42.3,7.48,351,24.41,18.25,2.11,1136.5,19.61,2.65,1.17,1.740377358
1802,NW,397069.7478,5768918.371,2,SS,N2,117.56,0.3,11.6,15.5,6.8,7.1,8.6,27.4,22.4,50.2,7.31,232,95.15,77.43,7.65,873.3,62.11,2.65,0.89,1.011320755
1803,NW,403598.6638,5769846.983,1,GG,N0,74.78,0.6,26.2,58.1,10.1,1.2,0.5,85,11.7,3.3,5.9,121.3,18.91,18.91,1.28,1250.6,7.31,2.65,1.28,0.01509434
1805,NW,418506.3665,5766197.569,1,PP,N0,81.92,0.4,20.4,68.5,6.3,1.2,0.6,89.3,8.1,2.6,6.01,83.4,21.05,21.05,1.54,1141.4,10.8,2.65,1.16,0
1806,NI,425491.7769,5766272.116,1,YE,N0,110.31,0.3,20.8,62.7,9.1,1.6,0.8,83.8,11.5,4.7,5.43,47.9,28.51,28.51,1.85,1312.3,22.82,2.65,1.31,0.025660377
1807,NW,434411.0901,5767115.166,1,PP,N0,81.8,1.1,42.2,49.5,3.1,0.9,0.6,92.8,4.5,2.7,5.94,74,21.03,21.03,1.32,1268.9,14.96,2.65,1.3,1.170943396
1808,NW,442336.5491,5769014.422,1,YE,N0,73.68,2.5,49,38.6,3.7,1.4,1,90.2,6.1,3.7,5.8,53.2,19.48,19.48,1.38,1256.8,22.28,2.65,1.31,1.574339623
1810,NW,457630.0217,5769646.819,1,ZZ,N2.2,51.65,0.6,2.5,8.2,59.2,13.9,3.1,11.2,76.2,12.6,6.05,41.2,13.26,13.26,1.17,1552.5,14.03,2.65,1.56,0.405283019
1811,NW,468944.4301,5769891.561,1,LL,N2.2,47.1,0.4,1.4,3.6,65.8,15.2,2.8,5.4,83.7,10.9,5.67,52.4,11.41,11.41,1.3,1409.1,26.95,2.65,1.41,0.04
1815,NW,500038.957,5767381.526,1,RQ,N2,46.92,10,6.9,5.1,22.8,14.8,11.4,22,48.9,29.1,7.21,116.4,16.34,14.87,1.77,1053.4,26.06,2.65,0,9.968330443
1818,NI,526329.931,5768256.307,1,BB,N2,49.02,0.5,0.6,2.6,63,15.6,1.9,3.7,80.6,15.7,5.59,108.7,13.1,13.1,1.26,1278.4,11.65,2.65,1.29,0.291320755
1819,NI,531778.252,5769211.469,1,SS,N3.1,32.72,0.9,0.6,1.8,59.4,19.8,4.6,3.4,83.9,12.7,5.77,46.4,9.73,9.73,0.96,1122.3,22.84,2.65,0,12.27659572
1821,NI,546627.9971,5771796.841,1,BB,N1,51.17,0.2,0.6,1.2,57.5,23.1,3.9,1.9,84.4,13.7,6.68,276,12.78,12.78,1.53,1282.5,28.1,2.65,1.29,0.340377358
1822,NI,556147.7855,5767241.657,1,LL,N0,47.76,0.6,3.4,4.9,51.7,20.6,4.1,8.9,76.5,14.6,6.12,176,12.22,12.22,1.35,1188.7,17.77,2.65,1.21,0.196981132
1824,NI,573943.1349,5768396.605,1,LL,N2.2,41.16,0.3,1.1,2,56.5,19.9,3.6,3.3,80,16.7,6.49,254,11.15,11.15,1.18,893.4,14.52,2.65,0.95,0.100377358
1825,NI,577512.3237,5771293.031,1,RQ,N2.2,46.18,1.5,6.8,27.7,32,14.7,4,36,50.7,13.3,7.29,181.9,14.83,14.83,1.55,1128.5,11.83,2.65,0,10.39737981
1831,NI,628230.0557,5771300.183,1,TT,N2,67.82,0.4,1.1,2.1,45.3,24.3,5.6,3.5,75.2,21.3,7.59,160.2,24.43,20.62,2.25,976.3,21.63,2.65,0.98,0
1832,ST,633000.4242,5770241.495,1,TT,N2,68.22,0.6,2.4,2.6,45.5,23.3,4.7,5.6,73.4,21,6.91,96.2,18.53,18.2,1.66,1236.3,28.38,2.65,1.24,0.113207547
1833,ST,643281.2908,5772905.435,2,AT,N0.2,122.52,0.7,1.5,1,16.5,28.5,10.9,3.2,56,40.8,7.31,156.4,51.03,48.94,4.51,1005.5,48.85,2.65,1.01,0.012830189
1834,ST,650540.0029,5770748.382,1,RZ,N2,74.27,1.1,0.9,12.7,31.4,14.6,4.2,14.7,50.2,35.1,7.69,250,20.48,18.16,1.73,1126.3,24.76,2.65,1.19,3.577358491
1837,ST,677039.9204,5771286.822,1,TT,N1,89.8,0.3,1,1.4,45.9,24.5,4.9,2.8,75.3,21.9,6.49,113.3,24.06,23.63,2.07,1307.7,25.01,2.65,1.31,0.031698113
1842,ST,717815.5869,5770394.487,2,ZZ,N0,84.97,4.6,43.8,34.1,5.7,3.1,1.8,82.4,10.7,6.9,5.96,194.6,70.66,70.66,5.74,873.7,51.4,2.65,0.89,0.511698113
1850,BB,782062.3108,5773044.391,1,LF,N0,31.57,10.3,39.1,34.8,7.3,3.1,1.5,84.1,11.9,4,6.47,94.4,9.66,9.66,0.8,1400.1,6.49,2.65,1.61,7.713207547
1854,BB,809256.4928,5772963.296,1,BB,N3,31.96,4.6,40.1,45.9,4.7,1.9,0.9,90.7,7.5,1.8,5.11,33.2,8.71,8.71,0.66,1148.3,13.55,2.65,1.21,2.657358491
1864,BB,891689.5448,5773392.234,2,ZZ,N0.2,77.32,3.1,21.5,34.5,15.1,7.2,4.2,59.1,26.6,14.3,6.09,79.2,30.84,30.84,2.28,1068.5,41.31,2.65,1.09,0.626415094
1866,NW,364581.9087,5758030.324,2,YU,N0,74.68,0.6,10,66.9,6.1,4,1,77.5,11.2,11.3,6.15,141.8,39.13,39.13,3.75,1132.3,39.03,2.65,1.15,1
