PointID,County,xcoord,ycoord,landusenum,Main_soil,Slope,CS_0_30,gS,mS,fS,gU,mU,fU,Sand,Silt,Clay,pH_H2O,EC_H2O,TC,TOC,TN,FSS,Water_cont,Stone_dens,BD_bulk,Rock_fragm
354,SH,611245.5394,5963564.795,2,KM,N0,287.54,0,0,0,0,0,0,0,0,0,6.52,234,211.31,211.31,18.26,357.3,194,2.65,0.37,0
356,MV,624185.8859,5964537.437,2,SS,N2.2,85.78,2.4,16.3,32.3,15,11.5,7.6,51.1,34.2,14.7,5.59,72.9,31.27,31.27,2.96,1305,25.35,2.65,1.34,1.56
357,MV,631850.035,5961797.046,1,SS,N3,49.62,3,10.1,27.7,18.4,15.3,7.9,40.8,41.5,17.7,6.55,120.8,13.42,13.12,1.33,1352.8,22.81,2.65,1.39,1.698113208
358,MV,639856.2922,5959582.986,1,LL,N3.1,49.54,4,12.6,28.8,18.4,12,6.6,45.4,37.1,17.5,6.85,119.1,11.88,11.88,1.14,1337.3,18.68,2.65,1.39,1.994716981
364,MV,687666.478,5961720.668,1,BB,N1,30.78,3.9,17.1,45.3,16,7.3,3.8,66.4,27.1,6.5,6.45,105,8.82,8.82,0.84,1199.8,16.8,2.65,1.28,2.437735849
365,MV,697020.0301,5961504.452,1,BB,N0.2,43.35,16.6,27.3,38.2,5.4,3.4,2.2,82.1,10.9,7,5.39,158.6,13.29,13.29,1.27,1169.7,10.97,2.65,1.35,7.384150943
371,MV,745413.5266,5966973.759,1,RZ,N2.2,34.65,6.3,31,35.1,10.1,5.5,3,72.3,18.6,9.1,7.58,84.5,10.18,9,0.94,1259.3,18.13,2.65,1.34,3.755471698
373,MV,761486.5069,5963744.039,1,SS,N1,53.72,2.5,13.3,28.4,21.6,12.8,6.4,44.2,40.8,15,7.13,217,14.94,14.59,1.5,1273.9,14.76,2.65,1.28,0.298867925
375,MV,774825.7467,5963880.593,1,SS,N1,45.11,4.8,23,34.9,13.9,8.3,5.1,62.7,27.2,10.1,7.19,260,11.73,11.17,1.04,1331.2,13.48,2.65,1.39,2.757735849
377,MV,791713.7759,5961865.377,2,KV,N0,265.54,0,0,0,0,0,0,0,0,0,6.19,393,352.43,352.43,32.46,279.7,276.82,2.65,0.28,0.078490566
379,MV,809536.2605,5966618.384,1,LF,N0,34.3,6,27.9,40.1,13,5.3,2.7,73.9,21,5.1,6.35,51.3,8.22,8.22,0.77,1410.2,9.34,2.65,0,7.82644818
380,MV,817913.2066,5963587.422,1,BB,N0,45.9,3.1,27.5,48.9,11.2,3.6,1.7,79.4,16.4,4.2,6.32,79.6,11.11,11.11,0.95,1376.2,12.42,2.65,1.42,2.017358491
382,MV,833832.2032,5967622.577,2,KM,N0,264.68,0,0,0,0,0,0,0,0,0,5.18,1554,234.13,234.13,19.16,265.1,242.59,2.65,0.28,0
383,MV,838372.6292,5963519.66,2,KV,N0,236.71,0.4,13.3,53.2,14,5.9,2.2,66.9,22.1,11,6.47,248,169.4,169.4,15.81,515.5,124.73,2.65,0.53,0
384,NI,426046.0593,5948947.152,1,MC,N0,84.38,0.1,0.2,9.3,21.3,16.6,7.8,9.6,45.7,44.7,7.99,196.4,30.89,22.21,2.62,1177.1,39.8,2.65,1.18,0
385,NI,432173.7279,5948902.582,1,MC,N0.1,68.31,0,0.1,30.5,41,7.8,2.9,30.6,51.7,17.7,7.06,93.6,18.72,17.22,2.25,1330,33.44,2.65,1.33,0
386,NI,471002.6242,5954130.726,2,MN,N0.1,93.39,0.2,3.3,12.9,44.2,11.5,4.6,16.4,60.3,23.3,5.36,182.1,52.88,52.88,5.48,937.5,56.15,2.65,0.94,0
388,NI,489244.1702,5954499.049,2,ZZ,N0.1,178.32,0.1,1,5.9,41.5,14.4,6,6.9,61.9,31.2,5.25,187.9,103.13,103.13,9.17,1022.9,17.83,2.65,1.03,0.014339623
390,NI,504639.7369,5950607.591,1,SS,N2,50.69,4.7,38.5,39.8,6.3,2,1.7,82.9,10.1,7,5.92,48,13.68,13.68,1.13,1397.2,15.35,2.65,0,4.298043328
391,NI,510433.1539,5952895.176,1,MN,N0,151.69,0.3,0.8,17.5,27.9,11.5,7.1,18.6,46.5,34.9,6.98,187.5,47.97,47.97,3.98,1099.6,43.43,2.65,1.1,0
395,SH,554398.0619,5952663.879,2,KV,N0,284.59,0,0,0,0,0,0,0,0,0,5.51,204,320.47,320.47,26.36,246.5,179.94,2.65,0.26,0
399,SH,582622.7005,5953194.142,2,GG,N0,82.14,1.1,18.3,28.4,18.5,9.5,4.4,47.8,32.4,19.8,5.68,68.6,66.17,66.17,6.7,889.2,49.42,2.65,0.89,0.021886792
401,SH,599217.4206,5955726.445,1,SS,N2.2,53.3,3.7,13.9,26.6,18.3,14.2,0,44.1,32.5,23.4,6.99,158.3,13.16,13.16,1.27,1480.7,20.57,2.65,1.54,2.95245283
402,SH,609221.1791,5952873.114,1,BB,N1,47.38,4.4,45.1,36,6.3,2.8,1.5,85.6,10.5,3.9,5,34.5,9.47,9.47,0.75,1385.7,9.84,2.65,1.4,0.832830189
406,MV,640440.6157,5956290.506,1,SS,N2,37.44,5.1,16.7,34.7,17.4,10.4,4.5,56.5,32.3,11.2,7.24,179.2,14.8,14.46,1.34,981.8,16.99,2.65,1.07,4.024150943
408,MV,656227.5544,5953494.942,1,SS,N2.1,55.3,4.2,19.6,32.2,13.3,9,4.8,55.9,27.1,17,7.25,107.9,15.92,15.21,1.46,1282.5,19.18,2.65,1.46,7.61509434
